INFO 2024-11-06 17:50:26,335 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-06 17:50:26,335 autoreload Waiting for apps ready_event.
DEBUG 2024-11-06 17:50:26,339 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-06 17:50:26,351 autoreload Watching dir /home/achcarlucas/Documentos/lucas/univesp/pi2_univesp/lava_jato/private_site/templates with glob **/*.
DEBUG 2024-11-06 17:50:26,351 autoreload Watching dir /home/achcarlucas/Documentos/lucas/univesp/pi2_univesp/lava_jato/public_site/templates with glob **/*.
DEBUG 2024-11-06 17:50:26,351 autoreload Watching dir /home/achcarlucas/Documentos/lucas/univesp/pi2_univesp/lava_jato/locale with glob **/*.mo.
DEBUG 2024-11-06 17:50:26,352 autoreload Watching dir /home/achcarlucas/Documentos/lucas/univesp/pi2_univesp/lava_jato/public_site/locale with glob **/*.mo.
DEBUG 2024-11-06 17:50:26,352 autoreload Watching dir /home/achcarlucas/Documentos/lucas/univesp/pi2_univesp/lava_jato/private_site/locale with glob **/*.mo.
DEBUG 2024-11-06 17:50:26,392 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-11-06 17:50:26,396 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-11-06 17:50:26,436 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/utils/regex_helper.py first seen with mtime 1730154309.9590356
DEBUG 2024-11-06 17:50:26,436 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/mail/__init__.py first seen with mtime 1730154309.880035
DEBUG 2024-11-06 17:50:26,436 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/forms/fields.py first seen with mtime 1730154309.9220352
DEBUG 2024-11-06 17:50:26,436 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/forms/models.py first seen with mtime 1730154309.9230354
DEBUG 2024-11-06 17:50:26,436 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/messages/constants.py first seen with mtime 1730154309.682033
DEBUG 2024-11-06 17:50:26,436 autoreload File /usr/lib/python3.12/lib-dynload/_lzma.cpython-312-x86_64-linux-gnu.so first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,436 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1730154309.5020316
DEBUG 2024-11-06 17:50:26,436 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/sessions/middleware.py first seen with mtime 1730154309.778034
DEBUG 2024-11-06 17:50:26,436 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/utils/inspect.py first seen with mtime 1730154309.9570355
DEBUG 2024-11-06 17:50:26,437 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/utils/__init__.py first seen with mtime 1730154309.9520357
DEBUG 2024-11-06 17:50:26,437 autoreload File /home/achcarlucas/Documentos/lucas/univesp/pi2_univesp/lava_jato/private_site/models/tipo_servico.py first seen with mtime 1730243065.4516265
DEBUG 2024-11-06 17:50:26,437 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/contenttypes/fields.py first seen with mtime 1730154309.5030315
DEBUG 2024-11-06 17:50:26,437 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/staticfiles/utils.py first seen with mtime 1730154309.8700347
DEBUG 2024-11-06 17:50:26,437 autoreload File /usr/lib/python3.12/tempfile.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,437 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/models/functions/datetime.py first seen with mtime 1730154309.9160352
DEBUG 2024-11-06 17:50:26,437 autoreload File /usr/lib/python3.12/email/encoders.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,437 autoreload File /usr/lib/python3.12/platform.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,437 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/auth/admin.py first seen with mtime 1730154309.453031
DEBUG 2024-11-06 17:50:26,437 autoreload File /usr/lib/python3.12/asyncio/constants.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,437 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/messages/utils.py first seen with mtime 1730154309.682033
